Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"KKarlinhos",3860789971,100.0,2025-03-23 14:05,2025-03-24 17:55,7514,9.0,H,No Limit,Normal,-218.00,4281,Bounty Progressive-Bounty Multi-Entry,USD,,100207,8,,"Episode 17: $109 SUNDAY MILLION, $1M Gtd - Progressive KO - 2-Day Event",2500,
GGNetwork,"LittleCop",195934868,202.4,2025-03-24 10:30,2025-03-24 17:42,980,17.6,H,No Limit,Normal,795.77,42,Bounty Multi-Entry,CNY,,25920,8,1015.77,"Zodiac Monkey King Bounty ¥220",218,
GGNetwork,"LittleCop",195952372,19.87,2025-03-24 12:15,2025-03-24 17:38,852,1.73,H,No Limit,Turbo,41.62,80,Bounty Deep-Stack Multi-Entry,USD,,19387,8,63.22,"Bounty Hunters Deepstack Turbo $21.60",148,
PokerStars,"KKarlinhos",3871137891,30.0,2025-03-24 14:15,2025-03-24 17:17,191,3.0,H,No Limit,Turbo,-33.00,49,Bounty Progressive-Bounty Multi-Entry,USD,,10969,8,,"Hot $33 [Progressive KO], $6K Gtd",26,
GGNetwork,"LittleCop",195912138,23.0,2025-03-24 08:00,2025-03-24 17:16,2247,2.0,H,No Limit,Normal,-25.00,781,,USD,,33382,8,,"GGMasters Asia $25, $40K GTD",,
GGNetwork,"LittleCop",195784735,138.0,2025-03-23 14:00,2025-03-24 16:43,7548,12.0,H,No Limit,Normal,-150.00,4831,,USD,,96208,8,,"GGMasters $150, $1M GTD [2-Day Event]",,
PokerStars,"KKarlinhos",3872229384,24.55,2025-03-24 13:15,2025-03-24 16:27,213,2.45,H,No Limit,Turbo,-20.88,141,Bounty Progressive-Bounty Multi-Entry,USD,,11546,7,6.12,"Hot $27 [Progressive KO], $5K Gtd / New Tournament!",36,6.12
PokerStars,"KKarlinhos",3871138382,20.0,2025-03-24 10:30,2025-03-24 16:26,572,2.0,H,No Limit,Normal,-39.00,212,Bounty Multi-Entry,USD,,21398,8,,"Bounty Builder $22, $12K Gtd",102,5.0
PokerStars,"KKarlinhos",3871138382,20.0,2025-03-24 10:30,2025-03-24 16:26,572,2.0,H,No Limit,Normal,-39.00,645,Bounty Multi-Entry,USD,,21398,8,,"Bounty Builder $22, $12K Gtd",102,5.0
GGNetwork,"LittleCop",195932505,49.68,2025-03-24 10:15,2025-03-24 15:40,481,4.32,H,No Limit,Turbo,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,19500,8,,"Bounty Hunters Deepstack Turbo $54",106,
PokerStars,"KKarlinhos",3871137701,20.0,2025-03-24 12:15,2025-03-24 15:38,234,2.0,H,No Limit,Turbo,-22.00,90,Bounty Progressive-Bounty Multi-Entry,USD,,12217,8,,"Hot $22 [Progressive KO], $5K Gtd",28,
PokerStars,"KKarlinhos",3871137795,41.9,2025-03-24 13:35,2025-03-24 15:11,96,2.1,H,No Limit,Super Turbo,96.10,9,6-Max Multi-Entry,USD,,5810,6,140.1,"Hot Hyper $44, $4K Gtd",8,
GGNetwork,"LittleCop",195912851,80.96,2025-03-24 08:05,2025-03-24 14:53,161,7.04,H,No Limit,Normal,-88.00,,Deep-Stack Multi-Entry,USD,,24491,8,,"Superstack Special $88",57,
PokerStars,"KKarlinhos",3871138052,24.55,2025-03-24 09:10,2025-03-24 14:10,73,2.45,H,No Limit,Normal,24.95,10,Multi-Entry,USD,,18048,8,51.95,"Big $27, $1.5K Gtd",10,
GGNetwork,"LittleCop",191500084,376.0,2025-03-24 10:30,2025-03-24 13:34,734,24.0,H,No Limit,Normal,-800.00,,Satellite Bounty Deep-Stack Multi-Entry,USD,,11044,8,,"#13: $400 COLOSSUS Bounty NLH [Stage 1]",311,
PokerStars,"KKarlinhos",3871137682,14.7,2025-03-24 10:15,2025-03-24 13:24,245,1.8,H,No Limit,Turbo,0.70,43,Bounty Progressive-Bounty Multi-Entry,USD,,11359,8,17.2,"Hot $16.50 [Progressive KO], $3K Gtd",41,3.75
PokerStars,"KKarlinhos",3871136802,50.0,2025-03-24 08:20,2025-03-24 13:08,66,5.0,H,No Limit,Normal,-55.00,43,Multi-Entry,USD,,17305,7,,"Clutch $55 [7-Max], $4K Gtd",15,
PokerStars,"KKarlinhos",3871137686,78.1,2025-03-24 10:35,2025-03-24 11:52,44,3.9,H,No Limit,Super Turbo,-62.00,19,6-Max Bounty Progressive-Bounty Multi-Entry,USD,,4635,6,20.0,"Hot Hyper $82 [Progressive KO], $2K Gtd",3,20.0
WPN,"Littlecop",33317594,100.0,2025-03-23 16:15,2025-03-24 02:39,1115,9.0,H,No Limit,Normal,120.34,135,Multi-Entry,USD,,37442,8,229.34,"OSS#143H - $150,000 GTD",681,
GGNetwork,"LittleCop",195314962,99.36,2025-03-23 17:00,2025-03-24 02:27,5511,8.64,H,No Limit,Normal,-108.00,,Bounty Mystery-Bounty Multi-Entry,USD,,34060,8,,"WSOPC: $108 Sunday Showdown [Mystery Bounty]",3030,
